Время	Гармоника_1	Гармоника_2	Гармоника_3	
0.0123	-0.666337	0.477918	-0.226995	
0.0124	-0.679914	0.499753	-0.293893	
0.0125	-0.69282	0.519615	-0.353553	
0.0126	-0.705043	0.537427	-0.404508	
0.0127	-0.716569	0.553118	-0.445503	
0.0128	-0.727389	0.566626	-0.475528	
0.0129	-0.737491	0.577898	-0.493844	
0.013	-0.746864	0.586889	-0.5	
0.0131	-0.755501	0.593563	-0.493844	
0.0132	-0.763392	0.597896	-0.475528	
0.0133	-0.77053	0.599868	-0.445503	
0.0134	-0.776907	0.599474	-0.404508	
0.0135	-0.782518	0.596713	-0.353553	
0.0136	-0.787356	0.591598	-0.293893	
0.0137	-0.791418	0.584147	-0.226995	
0.0138	-0.794698	0.574392	-0.154508	
0.0139	-0.797194	0.562369	-0.0782172	
0.014	-0.798904	0.548127	-4.04257e-15	
0.0141	-0.799825	0.531722	0.0782172	
0.0142	-0.799956	0.513219	0.154508	
0.0143	-0.799298	0.49269	0.226995	
0.0144	-0.797852	0.470216	0.293893	
0.0145	-0.795618	0.445887	0.353553	
0.0146	-0.792598	0.419798	0.404508	
0.0147	-0.788797	0.392052	0.445503	
0.0148	-0.784217	0.362759	0.475528	
0.0149	-0.778863	0.332035	0.493844	
0.015	-0.772741	0.3	0.5	
0.0151	-0.765856	0.266781	0.493844	
0.0152	-0.758215	0.232509	0.475528	
0.0153	-0.749826	0.19732	0.445503	
0.0154	-0.740696	0.161352	0.404508	
0.0155	-0.730836	0.124747	0.353553	
0.0156	-0.720255	0.0876498	0.293893	
0.0157	-0.708963	0.0502067	0.226995	
0.0158	-0.696971	0.0125655	0.154508	
0.0159	-0.684291	-0.0251254	0.0782172	
0.016	-0.670936	-0.0627171	4.1038e-15	
0.0161	-0.656919	-0.100061	-0.0782172	
0.0162	-0.642254	-0.137011	-0.154508	
0.0163	-0.626955	-0.173419	-0.226995	
0.0164	-0.611037	-0.209143	-0.293893	
0.0165	-0.594516	-0.244042	-0.353553	
0.0166	-0.577408	-0.277978	-0.404508	
0.0167	-0.559731	-0.310816	-0.445503	
0.0168	-0.541501	-0.342428	-0.475528	
0.0169	-0.522736	-0.372689	-0.493844	
0.017	-0.503456	-0.401478	-0.5	
0.0171	-0.483679	-0.428684	-0.493844	
0.0172	-0.463425	-0.454197	-0.475528	
0.0173	-0.442713	-0.477918	-0.445503	
0.0174	-0.421565	-0.499753	-0.404508	
0.0175	-0.4	-0.519615	-0.353553	
0.0176	-0.378041	-0.537427	-0.293893	
0.0177	-0.355708	-0.553118	-0.226995	
0.0178	-0.333025	-0.566626	-0.154508	
0.0179	-0.310012	-0.577898	-0.0782172	
0.018	-0.286694	-0.586889	-4.16504e-15	
