Время	Гармоника_1	Гармоника_2	Результирующая_гармоника
0.914	-0.425779	0.696893	0.271114
0.915	-0.45399	0.691382	0.237391
0.916	-0.481754	0.683142	0.201388
0.917	-0.509041	0.672206	0.163164
0.918	-0.535827	0.658617	0.12279
0.919	-0.562083	0.642428	0.0803449
0.92	-0.587785	0.623705	0.0359193
0.921	-0.612907	0.602519	-0.0103876
0.922	-0.637424	0.578956	-0.0584676
0.923	-0.661312	0.553109	-0.108203
0.924	-0.684547	0.525078	-0.159469
0.925	-0.707107	0.494975	-0.212132
0.926	-0.728969	0.462918	-0.26605
0.927	-0.750111	0.429035	-0.321076
0.928	-0.770513	0.393458	-0.377055
0.929	-0.790155	0.356329	-0.433826
0.93	-0.809017	0.317793	-0.491224
0.931	-0.827081	0.278004	-0.549077
0.932	-0.844328	0.237117	-0.607211
0.933	-0.860742	0.195294	-0.665448
0.934	-0.876307	0.1527	-0.723606
0.935	-0.891007	0.109504	-0.781502
0.936	-0.904827	0.0658758	-0.838951
0.937	-0.917755	0.0219875	-0.895767
0.938	-0.929776	-0.0219875	-0.951764
0.939	-0.940881	-0.0658758	-1.00676
0.94	-0.951057	-0.109504	-1.06056
0.941	-0.960294	-0.1527	-1.11299
0.942	-0.968583	-0.195294	-1.16388
0.943	-0.975917	-0.237117	-1.21303
0.944	-0.982287	-0.278004	-1.26029
0.945	-0.987688	-0.317793	-1.30548
0.946	-0.992115	-0.356329	-1.34844
0.947	-0.995562	-0.393458	-1.38902
0.948	-0.998027	-0.429035	-1.42706
0.949	-0.999507	-0.462918	-1.46242
0.95	-1	-0.494975	-1.49497
0.951	-0.999507	-0.525078	-1.52458
0.952	-0.998027	-0.553109	-1.55114
0.953	-0.995562	-0.578956	-1.57452
0.954	-0.992115	-0.602519	-1.59463
0.955	-0.987688	-0.623705	-1.61139
0.956	-0.982287	-0.642428	-1.62472
0.957	-0.975917	-0.658617	-1.63453
0.958	-0.968583	-0.672206	-1.64079
0.959	-0.960294	-0.683142	-1.64344
0.96	-0.951057	-0.691382	-1.64244
0.961	-0.940881	-0.696893	-1.63777
0.962	-0.929776	-0.699655	-1.62943
0.963	-0.917755	-0.699655	-1.61741
0.964	-0.904827	-0.696893	-1.60172
0.965	-0.891007	-0.691382	-1.58239
0.966	-0.876307	-0.683142	-1.55945
0.967	-0.860742	-0.672206	-1.53295
0.968	-0.844328	-0.658617	-1.50294
0.969	-0.827081	-0.642428	-1.46951
0.97	-0.809017	-0.623705	-1.43272
0.971	-0.790155	-0.602519	-1.39267
0.972	-0.770513	-0.578956	-1.34947
0.973	-0.750111	-0.553109	-1.30322
0.974	-0.728969	-0.525078	-1.25405
0.975	-0.707107	-0.494975	-1.20208
0.976	-0.684547	-0.462918	-1.14747
0.977	-0.661312	-0.429035	-1.09035
0.978	-0.637424	-0.393458	-1.03088
0.979	-0.612907	-0.356329	-0.969236
0.98	-0.587785	-0.317793	-0.905579
0.981	-0.562083	-0.278004	-0.840087
0.982	-0.535827	-0.237117	-0.772943
0.983	-0.509041	-0.195294	-0.704335
0.984	-0.481754	-0.1527	-0.634454
0.985	-0.45399	-0.109504	-0.563495
0.986	-0.425779	-0.0658758	-0.491655
0.987	-0.397148	-0.0219875	-0.419135
0.988	-0.368125	0.0219875	-0.346137
0.989	-0.338738	0.0658758	-0.272862
0.99	-0.309017	0.109504	-0.199513
0.991	-0.278991	0.1527	-0.126291
0.992	-0.24869	0.195294	-0.0533961
0.993	-0.218143	0.237117	0.0189733
0.994	-0.187381	0.278004	0.0906222
0.995	-0.156434	0.317793	0.161359
0.996	-0.125333	0.356329	0.230996
0.997	-0.0941083	0.393458	0.29935
0.998	-0.0627905	0.429035	0.366244
0.999	-0.0314108	0.462918	0.431508
